Tanggal,Nama_Event,Tipe_Event
2025-01-27,Isra Mikraj 2025,Libur Nasional
2025-01-28,Cuti Bersama Imlek,Libur Nasional
2025-01-29,Tahun Baru Imlek 2025,Libur Nasional
2025-03-01,Musim Ramadan 2025,Musim Keagamaan
2025-03-02,Musim Ramadan 2025,Musim Keagamaan
2025-03-03,Musim Ramadan 2025,Musim Keagamaan
2025-03-04,Musim Ramadan 2025,Musim Keagamaan
2025-03-05,Musim Ramadan 2025,Musim Keagamaan
2025-03-06,Musim Ramadan 2025,Musim Keagamaan
2025-03-07,Musim Ramadan 2025,Musim Keagamaan
2025-03-08,Musim Ramadan 2025,Musim Keagamaan
2025-03-09,Musim Ramadan 2025,Musim Keagamaan
2025-03-10,Musim Ramadan 2025,Musim Keagamaan
2025-03-11,Musim Ramadan 2025,Musim Keagamaan
2025-03-12,Musim Ramadan 2025,Musim Keagamaan
2025-03-13,Musim Ramadan 2025,Musim Keagamaan
2025-03-14,Musim Ramadan 2025,Musim Keagamaan
2025-03-15,Musim Ramadan 2025,Musim Keagamaan
2025-03-16,Musim Ramadan 2025,Musim Keagamaan
2025-03-17,Musim Ramadan 2025,Musim Keagamaan
2025-03-18,Musim Ramadan 2025,Musim Keagamaan
2025-03-19,Musim Ramadan 2025,Musim Keagamaan
2025-03-20,Musim Ramadan 2025,Musim Keagamaan
2025-03-21,Musim Ramadan 2025,Musim Keagamaan
2025-03-22,Musim Ramadan 2025,Musim Keagamaan
2025-03-23,Musim Ramadan 2025,Musim Keagamaan
2025-03-24,Musim Ramadan 2025,Musim Keagamaan
2025-03-25,Musim Ramadan 2025,Musim Keagamaan
2025-03-26,Musim Ramadan 2025,Musim Keagamaan
2025-03-27,Musim Ramadan 2025,Musim Keagamaan
2025-03-28,Musim Ramadan 2025,Musim Keagamaan
2025-03-29,Musim Ramadan 2025,Musim Keagamaan
2025-03-30,Musim Ramadan 2025,Musim Keagamaan
2025-06-21,Libur Sekolah (Juni) 2025,Musim Liburan
2025-06-22,Libur Sekolah (Juni) 2025,Musim Liburan
2025-06-23,Libur Sekolah (Juni) 2025,Musim Liburan
2025-06-24,Libur Sekolah (Juni) 2025,Musim Liburan
2025-06-25,Libur Sekolah (Juni) 2025,Musim Liburan
2025-06-26,Libur Sekolah (Juni) 2025,Musim Liburan
2025-06-27,Libur Sekolah (Juni) 2025,Musim Liburan
2025-06-28,Libur Sekolah (Juni) 2025,Musim Liburan
2025-06-29,Libur Sekolah (Juni) 2025,Musim Liburan
2025-06-30,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-01,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-02,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-03,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-04,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-05,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-06,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-07,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-08,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-09,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-10,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-11,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-12,Libur Sekolah (Juni) 2025,Musim Liburan
2025-07-13,Libur Sekolah (Juni) 2025,Musim Liburan
2025-12-20,Libur Nataru 2025,Musim Liburan
2025-12-21,Libur Nataru 2025,Musim Liburan
2025-12-22,Libur Nataru 2025,Musim Liburan
2025-12-23,Libur Nataru 2025,Musim Liburan
2025-12-24,Libur Nataru 2025,Musim Liburan
2025-12-25,Libur Nataru 2025,Musim Liburan
2025-12-26,Libur Nataru 2025,Musim Liburan
2025-12-27,Libur Nataru 2025,Musim Liburan
2025-12-28,Libur Nataru 2025,Musim Liburan
2025-12-29,Libur Nataru 2025,Musim Liburan
2025-12-30,Libur Nataru 2025,Musim Liburan
2025-12-31,Libur Nataru 2025,Musim Liburan
